TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
CBEE3;11,00;;98,15;0,50;0,22;17,53;8,99;0,50;5,48;10,73;5,25;0,48;0,49;-2,16;-0,29;0,68;0,51;0,23;5,72;0,45;0,55;0,45;9,42;0,75;7.030,30;22,00;0,11;-1,06;4.985.463.373,00
CEBR3;26,57;14,83;11,47;2,03;1,40;43,60;43,01;34,89;9,31;7,81;-1,85;-0,40;4,00;3,58;-2,65;5,89;17,65;12,21;11,92;0,69;0,14;0,35;14,87;-17,34;103.091,57;13,12;2,32;-1,54;1.988.623.362,30
CEBR5;23,95;16,45;10,34;1,83;1,26;43,60;43,01;34,89;8,39;7,81;-1,85;-0,40;3,61;3,23;-2,39;5,89;17,65;12,21;11,92;0,69;0,14;0,35;14,87;-17,34;67.361,86;13,12;2,32;-1,39;1.988.623.362,30
CEBR6;28,60;15,16;12,35;2,18;1,51;43,60;43,01;34,89;10,02;7,81;-1,85;-0,40;4,31;3,86;-2,85;5,89;17,65;12,21;11,92;0,69;0,14;0,35;14,87;-17,34;140.605,38;13,12;2,32;-1,66;1.988.623.362,30
CEEB3;45,89;12,63;6,43;1,48;0,32;28,41;22,19;9,79;2,83;7,61;4,39;2,30;0,63;5,03;-0,41;1,39;23,08;4,96;13,79;0,21;0,79;0,51;10,25;8,96;21.253,00;30,94;7,14;0,97;13.655.945.922,05
CEEB5;43,01;13,47;6,02;1,39;0,30;28,41;22,19;9,79;2,66;7,61;4,39;2,30;0,59;4,71;-0,39;1,39;23,08;4,96;13,79;0,21;0,79;0,51;10,25;8,96;860,20;30,94;7,14;0,91;13.655.945.922,05
CEEB6;60,68;10,50;8,50;1,96;0,42;28,41;22,19;9,79;3,75;7,61;4,39;2,30;0,83;6,65;-0,55;1,39;23,08;4,96;13,79;0,21;0,79;0,51;10,25;8,96;;30,94;7,14;1,29;13.655.945.922,05
CEED3;8,15;;-0,75;-0,13;0,06;16,84;5,82;-11,53;1,49;20,30;18,81;;0,09;1,74;-0,08;1,10;-17,21;-7,37;9,85;-0,43;1,43;0,64;12,16;;0,00;-63,17;-10,87;-0,01;558.221.245,40
CEED4;20,00;;-1,84;-0,32;0,14;16,84;5,82;-11,53;3,65;20,30;18,81;;0,21;4,26;-0,20;1,10;-17,21;-7,37;9,85;-0,43;1,43;0,64;12,16;;;-63,17;-10,87;-0,03;558.221.245,40
CEPE3;125,26;;55,58;13,86;2,29;21,38;14,84;7,33;27,46;33,20;6,21;3,13;4,08;80,24;-3,13;1,12;24,94;4,13;7,64;0,17;0,83;0,56;4,82;25,18;;9,03;2,25;0,12;36.443.231.491,42
CEPE5;40,12;;17,80;4,44;0,73;21,38;14,84;7,33;8,80;33,20;6,21;3,13;1,31;25,70;-1,00;1,12;24,94;4,13;7,64;0,17;0,83;0,56;4,82;25,18;;9,03;2,25;0,04;36.443.231.491,42
